# Информация по метеостанции 259130 Магадан Географические координаты: 59.550,150.783 Первое наблюдение: 03.03.1946 Последнее наблюдение: 31.12.2021;;;;;;;
Дата; Максимальная температура; Минимальная температура;Средняя температура; Атмосферное давление; Скорость ветра; Осадки; Эффективная температура
21.04.1960; -1.1; -7.2; -3.6;9999;3;0; -7.7
22.04.1960; 0.0; -7.2; -4.3;9999;5;0; -9.8
23.04.1960; -2.2; -7.2; -4.8;9999;3;0; -9.0
24.04.1960; -3.9; -8.9; -7.1;9999;3;0; -11.3
25.04.1960; 0.0; -10.0; -3.9;9999;4;0; -8.7
26.04.1960; 0.0; -8.9; -3.9;9999;8;0; -11.5
27.04.1960; 2.2; -8.9; -2.2;9999;9;0; -10.3
28.04.1960; 1.1; -2.8; -0.9;9999;8;9999; -8.1
29.04.1960; 2.2; -2.2; -0.4;9999;7;9999; -6.6
30.04.1960; 2.2; -2.2; -0.4;9999;4;3; -4.8
01.05.1960; 3.9; -2.8; -0.3;9999;3;0; -4.1
02.05.1960; 2.8; -2.8; -0.3;9999;3;0; -4.0
03.05.1960; 5.0; -2.2; 1.4;9999;3;0; -2.4
04.05.1960; 5.0; -2.8; 0.7;9999;4;0; -3.8
05.05.1960; 3.9; -2.8; -0.1;9999;15;0; -11.7
06.05.1960; 0.0; -2.2; -0.8;9999;11;4; -9.7
07.05.1960; 3.9; -2.2; 0.6;9999;3;1; -3.2
08.05.1960; 2.8; -3.9; -0.8;9999;6;0; -6.9
09.05.1960; 2.8; -3.9; -1.1;9999;4;0; -5.7
10.05.1960; 2.2; -2.8; -1.2;9999;3;9999; -5.1
11.05.1960; 1.1; -2.8; -1.3;9999;4;0; -5.8
12.05.1960; 1.1; -3.9; -1.3;9999;3;9999; -5.1
13.05.1960; 2.8; -3.9; 0.6;9999;3;0; -3.2
14.05.1960; 7.2; 1.1; 3.7;9999;3;0; 0.0
15.05.1960; 7.2; -1.1; 2.2;9999;4;0; -2.1
16.05.1960; 6.1; -2.2; 0.5;9999;3;0; -3.1
17.05.1960; 1.1; -3.9; -2.2;9999;3;0; -6.0
18.05.1960; 2.2; -3.9; -1.2;9999;4;0; -5.5
19.05.1960; 2.8; -3.9; 0.9;9999;4;0; -3.3
20.05.1960; 5.0; -2.2; 1.4;9999;3;0; -2.2
21.05.1960; 7.2; -2.2; 2.8;9999;6;0; -2.7
22.05.1960; 7.2; 0.0; 3.7;9999;8;0; -3.2
23.05.1960; 7.8; 0.0; 2.6;9999;3;0; -1.0
24.05.1960; 7.8; -1.1; 3.5;9999;4;0; -0.8
25.05.1960; 7.2; -1.1; 1.9;9999;4;0; -2.5
26.05.1960; 3.9; -2.2; 1.0;9999;3;0; -2.7
27.05.1960; 6.1; -2.8; 1.4;9999;3;0; -2.1
28.05.1960; 7.2; -2.8; 4.1;9999;3;0; 0.8
29.05.1960; 8.9; 2.2; 4.1;9999;3;0; 0.9
30.05.1960; 11.1; 2.2; 7.5;9999;2;0; 5.0
31.05.1960; 7.8; 1.1; 2.3;9999;4;0; -1.6
01.06.1960; 5.0; 1.1; 2.9;9999;5;0; -1.7
02.06.1960; 7.2; 0.0; 3.1;9999;2;0; 0.6
03.06.1960; 8.9; 0.0; 5.6;9999;4;0; 1.8
04.06.1960; 11.1; 2.2; 5.6;9999;4;0; 1.9
05.06.1960; 7.8; 1.1; 3.0;9999;4;0; -0.8
06.06.1960; 2.2; 0.0; 1.3;9999;6;0; -4.0
07.06.1960; 2.2; 0.0; 1.7;9999;4;1; -2.2
08.06.1960; 3.9; 1.1; 2.1;9999;5;0; -2.4
09.06.1960; 3.9; 0.0; 2.6;9999;3;0; -0.7
10.06.1960; 7.2; 1.1; 3.2;9999;3;9999; -0.0
11.06.1960; 3.9; 0.0; 1.7;9999;5;5; -2.9
12.06.1960; 7.8; 0.0; 4.8;9999;6;24; -0.3
13.06.1960; 12.2; 2.2; 5.6;9999;3;0; 2.6
14.06.1960; 5.0; 2.2; 2.9;9999;2;2; 0.4
15.06.1960; 7.2; 0.0; 3.1;9999;3;0; -0.0
16.06.1960; 3.9; 0.0; 1.7;9999;4;0; -2.2
17.06.1960; 3.9; 0.0; 1.8;9999;4;0; -2.1
18.06.1960; 10.0; 0.0; 6.1;9999;5;9999; 1.9
19.06.1960; 11.1; 5.0; 7.4;9999;4;1; 3.9
20.06.1960; 12.8; 3.9; 7.8;9999;4;0; 4.3
21.06.1960; 12.2; 3.9; 8.1;9999;3;0; 5.4
22.06.1960; 12.2; 2.2; 4.3;9999;4;2; 0.7
23.06.1960; 6.1; 2.2; 3.3;9999;5;0; -1.1
24.06.1960; 7.8; 1.1; 4.4;9999;4;0; 0.8
25.06.1960; 8.9; 1.1; 4.3;9999;6;0; -0.6
26.06.1960; 8.9; 2.2; 2.9;9999;3;0; -0.2
27.06.1960; 11.1; 1.1; 7.3;9999;6;0; 2.7
28.06.1960; 6.1; 3.9; 4.6;9999;4;7; 1.1
29.06.1960; 8.9; 6.1; 6.9;9999;3;10; 4.5
30.06.1960; 10.0; 6.1; 8.1;9999;3;0; 5.8
01.07.1960; 16.1; 7.2; 11.8;9999;5;1; 8.8
02.07.1960; 15.0; 10.0; 12.0;9999;5;33; 9.0
03.07.1960; 17.8; 12.2; 14.5;9999;3;0; 13.2
04.07.1960; 21.1; 11.1; 16.0;9999;3;0; 14.3
05.07.1960; 18.9; 10.0; 13.1;9999;2;0; 11.7
06.07.1960; 16.1; 8.9; 11.7;9999;3;1; 9.8
07.07.1960; 13.9; 7.8; 10.3;9999;3;3; 8.4
08.07.1960; 17.2; 7.8; 10.5;9999;3;14; 8.6
09.07.1960; 15.0; 7.8; 11.1;9999;4;0; 8.3
10.07.1960; 12.8; 7.8; 10.2;9999;3;1; 8.1
11.07.1960; 12.8; 7.8; 9.5;9999;5;20; 6.0
12.07.1960; 15.0; 7.8; 11.8;9999;7;9; 7.2
13.07.1960; 17.2; 8.9; 13.1;9999;4;1; 10.4
14.07.1960; 18.9; 8.9; 13.8;9999;5;0; 10.7
15.07.1960; 18.9; 8.9; 15.9;9999;3;0; 14.5
16.07.1960; 22.2; 12.2; 14.1;9999;4;0; 11.6
17.07.1960; 16.1; 7.8; 10.7;9999;3;1; 8.6
18.07.1960; 12.8; 7.8; 10.8;9999;7;10; 6.2
19.07.1960; 17.2; 10.0; 11.7;9999;3;2; 9.7
20.07.1960; 16.1; 10.0; 12.3;9999;2;0; 11.1
21.07.1960; 18.9; 11.1; 14.2;9999;4;1; 11.7
22.07.1960; 18.9; 10.0; 12.4;9999;4;9999; 9.8
23.07.1960; 17.2; 8.9; 12.3;9999;3;1; 10.5
24.07.1960; 13.9; 8.9; 10.6;9999;2;0; 9.4
25.07.1960; 12.2; 7.8; 10.3;9999;5;0; 7.1
26.07.1960; 12.2; 10.0; 11.4;9999;4;0; 9.0
27.07.1960; 15.0; 8.9; 11.4;9999;3;0; 9.7
28.07.1960; 12.8; 8.9; 10.7;9999;3;0; 8.9
29.07.1960; 15.0; 8.9; 10.8;9999;3;0; 9.0
30.07.1960; 16.1; 8.9; 12.2;9999;3;9999; 10.6
31.07.1960; 12.8; 8.9; 11.4;9999;1;15; 11.1
01.08.1960; 13.9; 8.9; 10.6;9999;5;9999; 7.5
02.08.1960; 12.2; 8.9; 10.8;9999;5;1; 7.7
03.08.1960; 17.2; 7.8; 11.7;9999;4;1; 9.2
04.08.1960; 12.8; 7.2; 10.6;9999;5;0; 7.5
05.08.1960; 11.1; 8.9; 10.0;9999;5;1; 6.7
06.08.1960; 12.8; 8.9; 10.7;9999;4;0; 8.1
07.08.1960; 17.8; 7.8; 12.7;9999;3;9999; 11.0
08.08.1960; 20.0; 11.1; 15.3;9999;6;0; 11.6
09.08.1960; 20.0; 11.1; 14.1;9999;5;0; 10.9
10.08.1960; 22.2; 12.2; 15.8;9999;3;0; 14.0
11.08.1960; 21.1; 11.1; 15.8;9999;3;0; 13.2
12.08.1960; 20.0; 10.0; 14.7;9999;3;0; 11.9
13.08.1960; 17.8; 10.0; 13.3;9999;2;0; 11.2
14.08.1960; 15.0; 7.8; 11.9;9999;2;0; 10.4
15.08.1960; 16.1; 8.9; 12.4;9999;4;0; 10.0
16.08.1960; 13.9; 10.0; 12.3;9999;5;1; 9.3
17.08.1960; 13.9; 11.1; 12.4;9999;4;9999; 10.4
18.08.1960; 13.9; 12.2; 12.7;9999;4;1; 10.8
19.08.1960; 12.8; 12.2; 12.3;9999;2;4; 11.6
20.08.1960; 17.8; 11.1; 15.3;9999;2;1; 14.3
21.08.1960; 20.0; 11.1; 14.7;9999;4;0; 12.1
22.08.1960; 16.1; 10.0; 14.1;9999;5;0; 11.3
23.08.1960; 13.9; 11.1; 11.8;9999;3;8; 10.2
24.08.1960; 16.1; 8.9; 11.6;9999;5;29; 8.2
25.08.1960; 13.9; 6.1; 9.8;9999;3;0; 7.1
26.08.1960; 13.9; 3.9; 9.1;9999;4;0; 6.0
27.08.1960; 15.0; 3.9; 10.7;9999;4;0; 7.7
28.08.1960; 17.8; 7.2; 11.0;9999;3;0; 8.5
29.08.1960; 13.9; 6.1; 10.3;9999;4;0; 7.3
30.08.1960; 15.0; 6.1; 10.2;9999;3;0; 7.9
31.08.1960; 16.1; 7.2; 11.7;9999;7;0; 6.6
01.09.1960; 13.9; 8.9; 9.9;9999;11;2; 2.4
02.09.1960;9999; 7.8; 10.0;9999;8;10; 4.5
03.09.1960; 13.9; 10.0; 11.3;9999;5;2; 8.0
04.09.1960; 15.0; 7.8; 10.7;9999;6;9999; 6.6
05.09.1960; 12.8; 7.8; 10.3;9999;4;0; 7.3
06.09.1960; 12.8; 7.8; 11.0;9999;3;0; 8.5
07.09.1960; 13.9; 6.1; 9.7;9999;2;0; 7.9
08.09.1960; 13.9; 7.2; 9.2;9999;3;0; 6.9
09.09.1960; 12.2; 6.1; 8.2;9999;3;0; 5.8
10.09.1960; 12.2; 3.9; 8.0;9999;3;0; 5.6
11.09.1960; 12.2; 3.9; 8.2;9999;2;1; 6.3
12.09.1960; 13.9; 5.0; 9.9;9999;4;0; 6.6
13.09.1960; 12.8; 6.1; 8.5;9999;3;1; 6.1
14.09.1960; 8.9; 5.0; 7.4;9999;5;9999; 3.6
15.09.1960; 10.0; 6.1; 9.1;9999;14;17; -0.3
16.09.1960; 10.0; 7.8; 8.5;9999;14;41; -0.9
17.09.1960; 11.1; 7.2; 9.3;9999;7;8; 4.1
18.09.1960; 11.1; 6.1; 7.6;9999;1;1; 6.3
19.09.1960; 11.1; 3.9; 6.7;9999;3;5; 3.9
20.09.1960; 7.8; 2.8; 6.1;9999;9;10; -0.6
21.09.1960; 7.2; 2.8; 4.6;9999;3;30; 1.6
22.09.1960; 7.2; 0.0; 4.2;9999;3;7; 1.2
23.09.1960; 7.8; 2.2; 4.0;9999;3;0; 1.0
24.09.1960; 7.8; 2.2; 3.7;9999;2;9999; 1.2
25.09.1960; 7.8; 1.1; 4.3;9999;3;0; 0.9
26.09.1960; 7.8; 0.0; 3.7;9999;4;0; -0.4
27.09.1960; 7.2; 0.0; 3.2;9999;3;0; -0.2
28.09.1960; 7.8; 2.2; 4.9;9999;4;0; 0.9
29.09.1960; 10.0; 2.2; 5.6;9999;4;0; 1.5
30.09.1960; 6.1; 1.1; 3.8;9999;7;0; -2.3
01.10.1960; 2.8; -2.2; 0.2;9999;5;0; -5.0
02.10.1960; -2.2; -5.0; -2.8;9999;9;5; -10.6
03.10.1960; -1.1; -5.0; -2.9;9999;3;4; -7.2
04.10.1960; 0.0; -7.2; -3.0;9999;4;9999; -7.8
05.10.1960; 0.0; -6.1; -2.1;9999;5;0; -7.4
06.10.1960; 2.2; -2.8; 0.4;9999;3;1; -3.5
07.10.1960; 6.1; -2.8; 1.3;9999;3;0; -2.7
08.10.1960; 1.1; -2.2; -0.3;9999;5;5; -5.4
09.10.1960; 1.1; -5.0; -2.2;9999;3;0; -6.5
10.10.1960; 1.1; -6.1; -3.2;9999;3;0; -7.5
11.10.1960; 0.0; -7.2; -2.2;9999;2;0; -5.7
12.10.1960; 2.8; -6.1; 1.1;9999;3;0; -2.5
13.10.1960; 3.9; -2.2; 2.9;9999;7;1; -2.8
14.10.1960; 3.9; -7.8; -3.4;9999;11;10; -12.8
15.10.1960; -3.9; -10.0; -7.8;9999;4;0; -13.1
16.10.1960; -3.9; -11.1; -6.7;9999;9;4; -14.9
17.10.1960; -5.0; -8.9; -7.3;9999;8;4; -15.0
18.10.1960; 0.0; -10.0; -2.0;9999;11;7; -11.1
19.10.1960; -1.1; -7.2; -5.2;9999;5;1; -10.9
20.10.1960; -2.2; -8.9; -5.6;9999;2;0; -9.5
21.10.1960; 1.1; -8.9; -4.3;9999;6;0; -10.4
22.10.1960; 0.0; -6.1; -4.3;9999;4;3; -9.2
23.10.1960; -2.8; -7.2; -3.9;9999;10;3; -12.6
24.10.1960; -3.9; -12.2; -7.5;9999;6;1; -14.0
25.10.1960; -8.9; -12.8; -10.6;9999;7;0; -18.0
26.10.1960; -6.1; -12.2; -9.6;9999;6;9999; -16.3
27.10.1960; -7.2; -12.2; -8.3;9999;3;0; -12.8
28.10.1960; -2.2; -8.9; -4.2;9999;5;5; -9.6
29.10.1960; -2.2; -5.0; -3.2;9999;5;1; -8.4
30.10.1960; -2.2; -7.8; -4.1;9999;4;6; -8.9
31.10.1960; -6.1; -12.8; -10.2;9999;5;0; -16.3
01.11.1960; -10.0; -15.0; -12.9;9999;4;0; -18.5
02.11.1960; -10.0; -15.0; -11.8;9999;3;0; -16.7
03.11.1960; -8.9; -15.0; -12.2;9999;4;0; -17.7
04.11.1960; -11.1; -15.0; -11.7;9999;5;0; -17.8
05.11.1960; -2.2; -12.8; -8.8;9999;5;9999; -14.7
06.11.1960; -7.2; -13.9; -10.6;9999;4;9999; -15.9
07.11.1960; -7.2; -13.9; -9.8;9999;5;0; -15.7
08.11.1960; -5.0; -12.2; -7.7;9999;10;9999; -16.8
09.11.1960; -7.8; -12.2; -10.3;9999;7;0; -17.6
10.11.1960; -8.9; -12.2; -10.3;9999;3;0; -15.0
11.11.1960; -7.8; -12.2; -9.8;9999;5;0; -15.8
12.11.1960; -7.8; -12.8; -10.3;9999;5;0; -16.3
13.11.1960; -7.8; -13.9; -10.7;9999;5;0; -16.7
14.11.1960; -10.0; -13.9; -11.7;9999;4;0; -17.2
15.11.1960; -7.8; -12.2; -8.9;9999;4;0; -14.1
16.11.1960; -7.8; -10.0; -8.1;9999;4;9999; -13.2
17.11.1960; -7.8; -11.1; -9.2;9999;5;0; -15.0
18.11.1960; -11.1; -17.8; -14.8;9999;4;2; -20.4
19.11.1960; -17.8; -20.0; -18.4;9999;6;0; -25.6
20.11.1960; -12.8; -20.0; -14.8;9999;5;1; -21.1
21.11.1960; -6.1; -16.1; -8.9;9999;7;0; -16.0
22.11.1960; 0.0; -10.0; -3.6;9999;9;2; -11.4
23.11.1960; -7.8; -22.2; -15.7;9999;9;2; -24.6
24.11.1960; -21.1; -22.8; -21.7;9999;7;4; -29.7
25.11.1960; -20.0; -26.1; -24.0;9999;4;0; -30.2
26.11.1960; -22.2; -27.2; -23.8;9999;6;0; -31.2
27.11.1960; -16.1; -23.9; -20.4;9999;6;0; -27.7
28.11.1960; -8.9; -22.8; -11.3;9999;8;9999; -19.2
29.11.1960; -11.1; -17.2; -13.7;9999;5;5; -19.8
30.11.1960; -17.2; -21.1; -19.3;9999;6;1; -26.5
01.12.1960; -17.8; -22.2; -20.4;9999;7;0; -28.3
02.12.1960; -11.1; -22.8; -13.0;9999;16;0; -26.3
03.12.1960; -13.9; -17.2; -15.4;9999;11;5; -25.6
04.12.1960; -17.2; -22.2; -20.8;9999;6;1; -28.1
05.12.1960; -17.8; -22.2; -20.0;9999;6;0; -27.2
06.12.1960; -17.2; -22.2; -18.0;9999;7;9999; -25.8
07.12.1960; -16.1; -20.0; -17.8;9999;6;0; -24.9
08.12.1960; -16.1; -20.0; -18.3;9999;2;0; -22.9
09.12.1960; -17.8; -21.1; -19.8;9999;6;0; -27.1
10.12.1960; -16.1; -21.1; -17.6;9999;6;0; -24.7
11.12.1960; -16.1; -18.9; -16.9;9999;6;0; -24.0
12.12.1960; -16.1; -17.8; -17.1;9999;4;0; -22.9
13.12.1960; -13.9; -18.9; -16.7;9999;4;0; -22.5
14.12.1960; -11.1; -20.0; -13.8;9999;4;0; -19.5
15.12.1960; -15.0; -18.9; -17.8;9999;7;0; -25.6
16.12.1960; -18.9; -21.1; -19.4;9999;5;0; -26.0
17.12.1960; -17.8; -20.0; -18.6;9999;4;0; -24.5
18.12.1960; -16.1; -20.0; -16.7;9999;6;0; -23.8
19.12.1960; -8.9; -17.2; -11.4;9999;6;9999; -18.1
20.12.1960; -7.8; -12.2; -9.1;9999;6;9999; -15.7
21.12.1960; -5.0; -7.8; -7.1;9999;8;0; -14.8
22.12.1960; -7.8; -12.2; -9.9;9999;8;0; -17.8
23.12.1960; -11.1; -13.9; -12.6;9999;9;0; -21.4
24.12.1960; -12.2; -18.9; -14.8;9999;6;0; -21.8
25.12.1960; -12.2; -16.1; -13.9;9999;7;0; -21.5
26.12.1960; -13.9; -16.1; -15.0;9999;8;0; -23.2
27.12.1960; -10.0; -17.2; -10.8;9999;9;0; -19.5
28.12.1960; -10.0; -17.2; -13.3;9999;9;0; -22.2
29.12.1960; -17.2; -21.1; -20.3;9999;6;0; -27.6
30.12.1960; -20.0; -25.0; -22.6;9999;5;0; -29.4
31.12.1960; -20.0; -25.0; -22.6;9999;5;0; -29.4
01.01.1961; -16.1; -23.9; -19.6;9999;1;0; -23.5
02.01.1961; -16.1; -22.2; -20.3;9999;2;9999; -24.9
03.01.1961; -21.1; -23.9; -22.8;9999;4;0; -28.8
04.01.1961; -16.1; -23.9; -19.4;9999;5;0; -25.9
05.01.1961; -12.8; -22.2; -16.1;9999;6;0; -23.1
06.01.1961; -12.2; -18.9; -14.9;9999;6;0; -21.9
07.01.1961; -17.8; -22.2; -20.6;9999;8;9999; -29.2
08.01.1961; -12.2; -22.8; -20.6;9999;5;0; -27.2
09.01.1961; -21.1; -25.0; -22.8;9999;6;9999; -30.2
10.01.1961; -20.0; -25.0; -21.3;9999;3;0; -26.7
11.01.1961; -15.0; -22.2; -17.9;9999;7;0; -25.7
12.01.1961; -13.9; -17.8; -15.2;9999;10;0; -24.8
13.01.1961; -12.8; -18.9; -17.2;9999;8;0; -25.6
14.01.1961; -17.8; -22.2; -19.4;9999;6;0; -26.7
15.01.1961; -16.1; -22.8; -19.3;9999;8;0; -27.8
16.01.1961; -18.9; -22.8; -20.3;9999;7;0; -28.2
17.01.1961; -21.1; -23.9; -23.3;9999;7;0; -31.4
18.01.1961; -16.1; -25.0; -19.6;9999;7;0; -27.5
19.01.1961; -10.0; -22.2; -11.3;9999;6;1; -17.9
20.01.1961; -10.0; -13.9; -11.7;9999;4;0; -17.1
21.01.1961; -11.1; -16.1; -15.1;9999;4;0; -20.8
22.01.1961; -13.9; -21.1; -17.0;9999;4;0; -22.8
23.01.1961; -18.9; -25.0; -22.3;9999;4;0; -28.4
24.01.1961; -22.2; -25.0; -23.1;9999;4;0; -29.2
25.01.1961; -12.2; -23.9; -18.3;9999;4;0; -24.2
26.01.1961; -7.2; -20.0; -8.9;9999;7;1; -16.0
27.01.1961; -2.2; -8.9; -3.8;9999;10;1; -12.4
28.01.1961; -2.8; -7.8; -5.8;9999;6;0; -12.1
29.01.1961; -3.9; -7.8; -5.7;9999;9;9999; -14.0
30.01.1961; 1.1; -7.8; -0.6;9999;9;0; -8.4
31.01.1961; 2.2; -3.9; -0.6;9999;8;0; -7.7
01.02.1961; -2.2; -5.0; -4.7;9999;6;0; -10.9
02.02.1961; -5.0; -8.9; -7.7;9999;5;9999; -13.5
03.02.1961; -7.2; -12.8; -9.7;9999;4;0; -15.0
04.02.1961; -10.0; -12.8; -11.4;9999;4;0; -16.7
05.02.1961; -11.1; -16.1; -13.3;9999;2;1; -17.4
06.02.1961; -12.8; -21.1; -16.7;9999;0;1; -19.8
